Collection Title,"Somali Songs, 1955-1991: The Maryan “Aryette” Omar Ali Collection"
Collection Dates,Creation: 1955 - 1991
Collection Identifier,AWM Spec Coll 103
EAD ID,mus00044

Database Number,Component Title,Component Date,Start Year,End Year,Component identifier,Container info,Component type,Component creator,Digital content link,Access Note,Physical description,Level 1,Level 2
mus00044c00178,Side A. Track 3: Faraskaagi Laga Badi ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00179,Side B. Track 1: Ma ishaan wax kaga jari? ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00180,Side B. Track 2: Ambabaxay Socodka ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00181,Side B. Track 3: Weligeed Adduunyada  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00182,Side B. Track 4: Shafka kaalay igu qabo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Sahra, Bacalwaan, Aamina, Cigaal (Sahra, Ba’alwan, Amina, Egal)", 
mus00044c00015,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12213",item,,"","","",Audiocassettes, , 
mus00044c00183,Side A. Track 1: Cawo waxaa leh (or: Sida canabka beeraha) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00184,Side A. Track 2: Ka Hadh Baan Lahaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00185,Side A. Track 3: Adduunyow,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00187,Side B. Track 1: Miyaan xalayto jiifsaday ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00188,Side B. Track 2: Xiisad Kiciye Caashaqu ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00189,Side B. Track 3: Ma dayrkii Makaan gubay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00190,Side B. Track 4: Cawo waxaa leh  (or: Sida canabka beeraha) ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Songs of the Play: Gaalo iyo islaan, gabdhow yaa idinleh", 
mus00044c00016,Heesaha waddaniga,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12214",item,,"","","",Audiocassettes, , 
mus00044c00191,Side A. Track 1: Ha iilan,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
mus00044c00192,Side A. Track 2: Afrikay ha seexan  ,"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
mus00044c00193,Side A. Track 3: Allaahu Akbar ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
mus00044c00194,Side B. Track 1: Ninkii Baadii Haystee,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
mus00044c00195,Side B. Track 2: Soomaalida Galbeed Weeye ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
mus00044c00196,Side B. Track 3: Geesiga birta ah,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Heesaha waddaniga, 
